cogid,bucket,run_accession
BHRT-24BB617,demo_samples,ERR5990608
PHWC-PYREIM,demo_samples,ERR5874574
PHWC-PYREWP,demo_samples,ERR5874678
PHWC-PYREUX,demo_samples,ERR5875498
NIRE-0017a3,demo_samples,ERR5938867
NIRE-00178c,demo_samples,ERR5941266
NIRE-001732,demo_samples,ERR5938720
NIRE-001733,demo_samples,ERR5939797
NIRE-00173a,demo_samples,ERR5940663
NIRE-001730,demo_samples,ERR5940664
NIRE-00179f,demo_samples,ERR5942732
NIRE-00175c,demo_samples,ERR5939417
NIRE-001757,demo_samples,ERR5938098
NIRE-00170e,demo_samples,ERR5936670
NIRE-00175a,demo_samples,ERR5937797
NIRE-0017b1,demo_samples,ERR5943180
NIRE-00178b,demo_samples,ERR5938456
NIRE-001766,demo_samples,ERR5942468
NIRE-001738,demo_samples,ERR5940384
NIRE-00179e,demo_samples,ERR5941526
NIRE-00172f,demo_samples,ERR5940865
NIRE-001711,demo_samples,ERR5943386
NIRE-00170f,demo_samples,ERR5937314
NIRE-001736,demo_samples,ERR5938583
NIRE-001762,demo_samples,ERR5939717
NIRE-001765,demo_samples,ERR5941826
NIRE-00170d,demo_samples,ERR5942702
NIRE-00193d,demo_samples,ERR5941561
NIRE-001767,demo_samples,ERR5938858
NIRE-001763,demo_samples,ERR5942084
NIRE-00193e,demo_samples,ERR5938477
NIRE-001710,demo_samples,ERR5939810
NIRE-00172e,demo_samples,ERR5937803
NIRE-00178d,demo_samples,ERR5940109
NIRE-00179d,demo_samples,ERR5938170
NIRE-001714,demo_samples,ERR5937577
NIRE-001764,demo_samples,ERR5940447
NIRE-001734,demo_samples,ERR5938232
NIRE-00178e,demo_samples,ERR5941731
NIRE-00178f,demo_samples,ERR5938860
NIRE-0017a2,demo_samples,ERR5939044
NIRE-001791,demo_samples,ERR5942129
NIRE-0017a1,demo_samples,ERR5939188
NIRE-0017a7,demo_samples,ERR5939697
NIRE-001737,demo_samples,ERR5940271
NIRE-001713,demo_samples,ERR5942001
NIRE-00173b,demo_samples,ERR5937980
NIRE-00175d,demo_samples,ERR5940092
NIRE-00170c,demo_samples,ERR5938580
NIRE-0017a9,demo_samples,ERR5940734
NIRE-001735,demo_samples,ERR5938208
NIRE-001790,demo_samples,ERR5941053
NIRE-0017a4,demo_samples,ERR5939824
PHEC-30922C,demo_samples,ERR5777613
OXON-F7E10B,demo_samples,ERR5776234
OXON-F7E0E0,demo_samples,ERR5775691
OXON-F7DFF3,demo_samples,ERR5775901
OXON-F7DFE4,demo_samples,ERR5776745
OXON-F7E183,demo_samples,ERR5775760
OXON-F7DF4E,demo_samples,ERR5777419
OXON-F7E0A4,demo_samples,ERR5775834
OXON-F7E1B0,demo_samples,ERR5778105
OXON-F7E1A1,demo_samples,ERR5776109
OXON-F7E04A,demo_samples,ERR5777995
NIRE-0018d6,demo_samples,ERR5941161
NIRE-0018d0,demo_samples,ERR5940368
NIRE-0018ce,demo_samples,ERR5941441
NIRE-0018cc,demo_samples,ERR5940849
NIRE-0018fc,demo_samples,ERR5938984
NIRE-0018fb,demo_samples,ERR5938961
NIRE-0018d2,demo_samples,ERR5942363
NIRE-0018f9,demo_samples,ERR5938604
NIRE-0018c9,demo_samples,ERR5938600
NIRE-0018d5,demo_samples,ERR5940134
NIRE-0018fa,demo_samples,ERR5942907
NIRE-0018d9,demo_samples,ERR5943321
NIRE-0018cf,demo_samples,ERR5939700
NIRE-0018cd,demo_samples,ERR5941416
NIRE-0018d1,demo_samples,ERR5941750
NIRE-0018ca,demo_samples,ERR5936932
NIRE-0018d4,demo_samples,ERR5937481
NIRE-0018f8,demo_samples,ERR5936708
NIRE-0018da,demo_samples,ERR5941839
NIRE-0018d7,demo_samples,ERR5943092
NIRE-0018d3,demo_samples,ERR5938901
NIRE-0018fd,demo_samples,ERR5938173
NIRE-0018d8,demo_samples,ERR5941773
NIRE-0018cb,demo_samples,ERR5941439
PHEC-30582E,demo_samples,ERR5747737
MILK-14DB78A,demo_samples,ERR5741623
MILK-14DB957,demo_samples,ERR5741826
MILK-14DB447,demo_samples,ERR5741844
MILK-14DB81E,demo_samples,ERR5741596
MILK-14DB4FC,demo_samples,ERR5741815
MILK-14DB7A8,demo_samples,ERR5741682
MILK-14DB3FF,demo_samples,ERR5741704
MILK-14DB67E,demo_samples,ERR5741818
MILK-14DB580,demo_samples,ERR5741736
MILK-14DB605,demo_samples,ERR5741619
MILK-14DB623,demo_samples,ERR5741679
MILK-14DB878,demo_samples,ERR5741769
MILK-14DB614,demo_samples,ERR5741649
MILK-14DB92A,demo_samples,ERR5741744
MILK-14DB526,demo_samples,ERR5741563
MILK-14DB6D8,demo_samples,ERR5741651
MILK-14DB6C9,demo_samples,ERR5741621
MILK-14DB8D2,demo_samples,ERR5741598
MILK-14DB562,demo_samples,ERR5741677
MILK-14DB8E1,demo_samples,ERR5741627
MILK-14DB6BA,demo_samples,ERR5741593
PHESW-YYBYM57,demo_samples,ERR5776577
NORW-229E05,demo_samples,ERR5875175
MILK-14BB4D4,demo_samples,ERR5695903
MILK-14BB128,demo_samples,ERR5695894
MILK-14BB410,demo_samples,ERR5695902
MILK-14BB36E,demo_samples,ERR5695892
MILK-14BB1FB,demo_samples,ERR5695914
MILK-14BB656,demo_samples,ERR5695900
MILK-14BB137,demo_samples,ERR5695913
MILK-14BB42F,demo_samples,ERR5695898
MILK-14BB2AD,demo_samples,ERR5695896
MILK-14BB35F,demo_samples,ERR5695890
MILK-14BB2BC,demo_samples,ERR5695915
MILK-14B9764,demo_samples,ERR5695883
MILK-14B98DA,demo_samples,ERR5695887
MILK-14B9816,demo_samples,ERR5695885
MILK-14B999B,demo_samples,ERR5695889
MILK-14B963A,demo_samples,ERR5699877
EKHU-2611DEB,demo_samples,ERR5705479
EKHU-2611DCD,demo_samples,ERR5704933
EKHU-2611E8E,demo_samples,ERR5706452
MILK-14B7B5B,demo_samples,ERR5693124
MILK-14B79D9,demo_samples,ERR5693120
MILK-14B7A6D,demo_samples,ERR5693046
MILK-14B7863,demo_samples,ERR5693116
MILK-14B7818,demo_samples,ERR5692982
MILK-14B78CD,demo_samples,ERR5692984
MILK-14B76A5,demo_samples,ERR5692978
MILK-14B79AC,demo_samples,ERR5693044
MILK-14B7766,demo_samples,ERR5692980
MILK-14B77B1,demo_samples,ERR5693114
MILK-14B7A9A,demo_samples,ERR5693122
MILK-14B7915,demo_samples,ERR5693118
CAMC-143DAF6,demo_samples,ERR5683463
CAMC-143DD0C,demo_samples,ERR5683552
CAMC-143DD1B,demo_samples,ERR5683554
CAMC-143DA32,demo_samples,ERR5683674
CAMC-145AF5E,demo_samples,ERR5676834
LOND-12F975B,demo_samples,ERR5667993
LOND-12F90D8,demo_samples,ERR5670032
LOND-E612B,demo_samples,ERR5669650
LOND-E610D,demo_samples,ERR5670259
LOND-12F90E7,demo_samples,ERR5670375
