cogid,bucket,run_accession
BIRM-BCBBSN,demo_samples,ERR5776327
BIRM-BCBBQU,demo_samples,ERR5776801
PORT-1E7B209,demo_samples,ERR5746627
PORT-1E7B254,demo_samples,ERR5748082
EDB17208,demo_samples,ERR5747439
EDB17148,demo_samples,ERR5704953
EDB17135,demo_samples,ERR5707034
CVR7370,demo_samples,ERR5706615
CVR7371,demo_samples,ERR5706376
CVR7367,demo_samples,ERR5705338
CVR7368,demo_samples,ERR5705680
PAHT-26D4D4E,demo_samples,ERR5746302
GGC115,demo_samples,ERR5970993
GGC111,demo_samples,ERR5971106
GGC112,demo_samples,ERR5970788
BIRM-BCNBUG,demo_samples,ERR5667638
BIRM-BCNBTK,demo_samples,ERR5668189
BIRM-BCNB1E,demo_samples,ERR5668999
BIRM-BCNBWR,demo_samples,ERR5668849
BIRM-BCNHGG,demo_samples,ERR5667395
BIRM-BCNHXW,demo_samples,ERR5669232
BRIS-264A28,demo_samples,ERR5704835
BRIS-264A19,demo_samples,ERR5705347
BRIS-264A37,demo_samples,ERR5706762
BIRM-BCN7EB,demo_samples,ERR5669848
EXET-147057,demo_samples,ERR5705578
LCST-24DD819,demo_samples,ERR5668354
LCST-24DD828,demo_samples,ERR5666067
PORT-2DF1AB,demo_samples,ERR5670364
PORT-2DF19C,demo_samples,ERR5669245
PORT-2DF1BA,demo_samples,ERR5666212
PORT-2DF18D,demo_samples,ERR5666614
PORT-2DF1F6,demo_samples,ERR5668579
PORT-2DF1E7,demo_samples,ERR5667804
CAMB-AA474B,demo_samples,ERR5669995
CAMB-AA466C,demo_samples,ERR5670490
CAMB-AA46E4,demo_samples,ERR5666912
CAMB-AA481B,demo_samples,ERR5670240
PORT-2F0AA9,demo_samples,ERR5669062
PORT-1E7F153,demo_samples,ERR5670042
PORT-2F0AF4,demo_samples,ERR5668421
PORT-2F0B1F,demo_samples,ERR5668281
PORT-1E7F144,demo_samples,ERR5667727
LIVE-E0C992,demo_samples,ERR5668671
LIVE-E0C9B0,demo_samples,ERR5666346
LIVE-E0C9A1,demo_samples,ERR5666675
EDB17019,demo_samples,ERR5669009
NORT-1BA6E40,demo_samples,ERR5631717
NORT-1BA6E13,demo_samples,ERR5633187
GGC089,demo_samples,ERR5776604
GGC087,demo_samples,ERR5777840
GGC088,demo_samples,ERR5776127
GGC086,demo_samples,ERR5776817
GGC090,demo_samples,ERR5777223
BIRM-BCN4FK,demo_samples,ERR5666331
BIRM-BCN4RC,demo_samples,ERR5667218
BIRM-BCN4GE,demo_samples,ERR5669013
BIRM-BCN48G,demo_samples,ERR5669688
BIRM-BCN36A,demo_samples,ERR5669747
BIRM-BCN4AD,demo_samples,ERR5670186
BIRM-BCN4B1,demo_samples,ERR5666689
BIRM-BCN374,demo_samples,ERR5667217
BIRM-BCN4ER,demo_samples,ERR5667647
BIRM-BCN4ZF,demo_samples,ERR5666396
BIRM-BCN4NO,demo_samples,ERR5669498
CAMB-AA44F9,demo_samples,ERR5629906
BIRM-BCN4P4,demo_samples,ERR5668818
BIRM-BCN5K9,demo_samples,ERR5666820
BIRM-BCN5JB,demo_samples,ERR5669447
BIRM-BCN5FJ,demo_samples,ERR5666744
BIRM-BCN4XS,demo_samples,ERR5666800
BIRM-BCN46Z,demo_samples,ERR5666155
BIRM-BCN5UC,demo_samples,ERR5668727
BIRM-BCN5TO,demo_samples,ERR5666373
LIVE-E0C4CE,demo_samples,ERR5669404
LIVE-E0C4FB,demo_samples,ERR5668920
SHEF-10EC210,demo_samples,ERR5629921
SHEF-10E8A0D,demo_samples,ERR5634276
SHEF-10DF553,demo_samples,ERR5628277
EDB17012,demo_samples,ERR5631406
NOTT-2525A4,demo_samples,ERR5630860
LIVE-E0BBF7,demo_samples,ERR5667996
CAMB-AA44DB,demo_samples,ERR5633198
NOTT-252586,demo_samples,ERR5666025
NOTT-2528AB,demo_samples,ERR5627985
NOTT-252577,demo_samples,ERR5628157
NOTT-252559,demo_samples,ERR5628856
SHEF-10D2435,demo_samples,ERR5633884
SHEF-10C5620,demo_samples,ERR5631305
SHEF-10CFF58,demo_samples,ERR5631083
SHEF-10CD9A7,demo_samples,ERR5635337
SHEF-10D3C0F,demo_samples,ERR5669561
SHEF-10D8420,demo_samples,ERR5628367
LIVE-E0BA09,demo_samples,ERR5704980
